日付,コメント
2022.12.29,"カフェミストをチョコソース追加・熱めでお願いしました。
レジの方は感じの良い方で、ミルクの変更を勧めてもらい、アーモンドミルクに変更してもらいました。ですが後でレシートを見ると、エクストラホットと書いてないことに気づきました。
作ってるスタッフさんに言うと、オーダーに入ってないのに…という感じで嫌々作り直そうか聞かれましたが、電車の時間が迫っていたので、そのままでいいと言いました。また、ミルク変更の用紙の確認もされませんでした。後で商品間違いに気付きましたが、もし私が頼んだものを受け取った人がアレルギーだったらどうするのでしょうか。
袋に入れてもらうようお願いしていて、レジのスタッフさんも袋にすぐ入れられるように準備されていたのに、手渡しされそうになり、袋に入れてもらって受け取りましたが、中身がこぼれて袋が濡れていました。
新幹線に乗ってから開けると、ミルクフォームやソースはなく、おそらく普通のコーヒーにミルクを注いだだけのもののでした。
店舗に電話して、最初に申し訳ありませんと言われましたが、どのオーダー・レシートのものかや連絡先を確認されることもなく。
遠くにいて店にはおそらく行けないので、スタバカードに返金してほしいと言いましたが、来店じゃないと返金不可とのこと。それよりも、返金じゃなくて商品を渡すのでもいいか？と何度か言われました。
長くスターバックスのファンでしたが、あまりにも店舗としてひどいなと思いました。もう行くことは無いと思います。"
2023.06.07,"仕事で隣市に行くためよくスタバを利用してます
昨日の対応にがっかりしました
ドライブスルー併用店舗を利用
すごく暑い日だったのでフラペチーノとドーナツをオーダーしました
受け取り口に向かい会計を済ませ待ってました
5分はたまた10分以上経っても商品が出てこない
店内は学生さんで賑わい学生さんのオーダーを作っているようでした、、
私の商品忘れられてる？って思った時に店員さんにドーナツを販売させていただきましたが在庫がありませんと言われました
10分も待って何も出てこずあげくに商品がないと言われたら頭に来て全てキャンセルしてくださいと言いました
福袋のチケットを使っていたためキャンセルが難しいようでした
泣く泣くフラペチーノだけ買いましたが先にご用意しておりますお待ちいただけますか？と言われました
受け取り店舗を後にしました
お詫びにアイスコーヒーを貰いましたが
煮え切らなかったためお客様相談室に電話しました
申し訳ごさいません注文し10分後に商品がないというのはそれは一番やってはいけない対応ですと
店舗を管轄するものに伝えますと
改善されるといいな仕事帰りご褒美でよく利用するし"
2023.01.24,"ずっと好きでしたが、最近は全体的に甘いものが多いなぁと感じます。
昔の方が美味しかったような…。それと一人でも入りやすくゆっくりもしやすかった印象がありました。
どこの店舗も今は学生やカップルが多く一人で入りにくいし、どんなに騒いでいてもスタッフが注意してくれなかったり…とあまり落ち着ける空間ではなくなってしまいました。
また新フレーバーが出るとお客さんがドッと押し寄せお店の人たち大変そう。
そのせいかたまに注文間違えたり忘れられたりってことがありました。
また以前のような空間に戻ってくれると嬉しいです。"
2023.09.28,"今日町田駅近くの隠れ家的なスタバに行きました。店員さんはとても親切な対応でしたが、ドリンクを作る方達は無愛想でした。
普段なら直ぐに呼ばれるのに10分経っても中々呼ばれないためドリンクを使っている店員さんに話しかけた所「こちらだいぶ時間が経っていますね」「こちらにいましたか？」と聞かれました。
私は、ここにずっといましたと言いましたが、「すみませんが他のお客様がいらっしゃいますので並んでお待ちいただいてよろしいでしょうか？」なので、分かりましたと言いましたがその後も中々貰うことが出来ず、他のお客さんが貰い終わった後もドリンクを作る方はずっとお喋りをして話しかけるのも嫌でしたが、最初に対応していただいた方が近くに来てくださったためドリンクを貰うことができました。
私はいい気にはなりませんでした"
2022.12.03,"今日、スターバックス豊橋駅前の側を通ったら。欲しかった限定のタンブラーチャームが売っていて。キラキラした方を購入しました。友人にも同じのをプレゼントしようと思って、若い女店員さんに(すみません、これって2個購入可能ですか？)と、聞いたら確認して来ます(無表情)で言われ。暫くして戻ったと思ったら
(その商品は入ったばかりなので一個しかお売りできません！(怒(
今後商品在庫が増えましたらお売り出来るかも？こちらを睨みながら。先程店にあった分は4つ以上あったのに、そう返して来ました。買いますか？怒💢と、言われ渋々購入しましたが
正直不快でした。これまでも駅に近く、時々購入してましたが。
その店では私が何回ドリンクを購入してもドリンクに文字が書いてありません。人によっては凄い温かいメッセージが記載されているのに。もう行くの辞めます！ただ、味はいいと感じました。"
2022.11.08,"順番を抜かされたにもかかわらず、店員の声掛けはなく、気づいてないのかなと思いきや、並んで頂きありがとうございます。とあたかも気づいてたけど言えなかったかのような言い回しをされました。作る順番を変えてくれるかと思いきや、それもなく。
スターバックスはカスタムできることから私はとてもリピートしています。カスタム内容も間違えないように画像にして見せているにもかかわらず、レジの人と作る人との会話もなく間違えられることが多々あります。レシートには記載できないカスタム内容のものもある為、作る人にそれを伝えなくてはいけないのに、それをしてくれない人がいます。味も変わるし、それによってその日の気分がとても下がります。もうサブナード新宿は利用しません。決して難しいことではないはずなのに、それが出来ないこと、気づかないことがとても悲しいです。"
2020.02.21,"昨年オープンしたT市のスタバ。
おススメのカスタマイズを教えてもらってから以前よりもっと利用する事が多くなりましたがやはり当たり外れの店員さんがいます。
基本的にドライブスルーで利用していますが最近は笑い声が聞こえたり、半笑いで対応されます。頻繁に利用するのがそんなに悪いですか？
別のスタバでも買うワッフルはその店舗では午前中に行っても「在庫ございません」と言われるばかり。
食べたくもないスコーンなどを勧められて、断るとあからさまに態度を変えてきます。
ホイップ多めとお願いしても受け取るものは普通のホイップ量と同じように見える…。
クレジットカードの通し方が分からない人だったのか何度も何度もカードをスキャン…分からないなら後ろで何もせず立ってる人に聞けば？と言いたくなりました。
カードを先に渡してその後にレシートを渡してくれる人は気遣いができる人だなと思いますが、カードとレシートを一緒に返してこられても…同時には無理です。
早く受け取れと言わんばかりの顔をする店員さん、いい気がしません。"
2023.05.15,"アーモンドミルクラテのトールサイズを注文しました。アーモンドの香ばしい香りも味もせず、ミルクとコーヒーをお湯で思いっきり薄めた様な飲み物でした。3人で確かめましたが、3人とも同意見でミルクコーヒーが少し入ったお湯を飲んでいる様だと...
作り方間違ってるんじゃないの？とカウンターに一応訴えに行きましたが、この色は間違えなくアーモンドミルクラテです。薄ければ砂糖を入れて調節して下さいと言われました。思い切って高いお金を出して楽しみに注文したのに非常に残念です。スタバは高いから滅多に行かないのにこんなもの飲まされるなんて今後は二度と行きません。
店は姫路の大津イオンの中に入っているスタバです。"
2023.07.19,"５年くらい前の事なので今その店員が居るかは判りませんが二度と行きたくないと思ったので書き込みます。
以前は渋谷で何度か入りましたが表側から店員さんが見える(並んでいることが多く見えないことも多い)状態で好みに合わせてこれが良い等とパッと伝えてくれるので良かったです。甘い飲み物はあまり好まないので伝え方が足りなかったのか、無かったのかは解りませんがスタバ商品は甘いものが多い、スイーツ系かなという印象。
帰り際に別のスタバに入った時。タンブラーをその場で購入し、そのまま使いたいから洗って欲しいと頼んだら洗わずそのまま出されました。未使用商品の臭いと混ざって頼んだ物も注文と違う物を出され全てが最悪でした。"
2023.07.15,"ほぼ毎日スタバを利用しているが、スタバというブランドは無くなったに等しい接客が多い。
カスタマイズをしたり、ノンアイスをお願いしたり、こだわりの強いお客様の要望にも応えてくれるブランドと思っていたが…ここ最近のスタバには皆無だと思う。
どこかしらのオーダーミスがあるので、そろそろカスタマイズや、フォーム量の変更、など無くした方がよいのでは⁇
特に、有料のカスタマイズをした時のオーダーミスもある中で、これは一種の詐欺なのでは⁇と思ってしまう。
後、持ち帰り用のフタが変更になったので、どんなにきちんとフタを閉めたとしても液漏れしてきて、ショッピングした帰りに寄ると購入した物が汚れて残念な気持ちになります。"
