日付,コメント
2023.09.22,"8月の酷暑の中引越しをお願いしました。搬出作業はテキパキと進められましたが、搬入時は疲れていたのか乱雑になり、終盤は適当に入れられた感が強いです。荷物を入れたダンボールも乱雑に扱われたのか破れているものも散見されました。
何よりも下請けのエアコン移設業者が最悪でした。搬出時に部品を破損され、このままでは取付け出来ない、修理が必要で費用もかかる・・・壊したのはあんたの会社でしょ??
持ち帰り修理になり、また連絡すると言ったきり1週間以上経過して、アートへ問い合わせたところ、慌てて電話してきて、結局このエアコンが取付けられたのは2週間以上後でした。そのためこの暑い中その部屋の片付けは止まったまま。
また、作業に一人で来られていてリビング用の別のエアコンが大型のため一人では無理とか言いだし、翌日になるかもと言い出す始末。(こちらは応援が来られて、なんとか当日設置)
費用もなんだかんだと事細かに請求があり、1台数万円。。踏んだり蹴ったりです。
最終的に壊されたエアコンについては取り付け費用も含めて無料になりましたが(作業者には数万取られたので、後日アートへ再度クレーム)、もう二度とアートには頼まない。"
2023.03.03,"机を搬出する際、大きくて　そのままでは廊下を通らない為
解体し、引っ越し先で組み立てをお願いしたのですが
「この部品（電動昇降式のバッテリーの受け皿）いらないみたいです」
と言われ渡されたので「いや、この部品はここに取り付けるんですよ」
と言って、取り付けてもらいました。"
2023.07.19,椅子の足は折れ、テーブルは傷がつけられました。他はまあまあ良い単身者引越しで3年ほど前に利用しました。なぜ引越しセンターに連絡しなかったかというと、当時とても忙しくて、補償のことを調べる頃には3ヶ月以上が経過していたからです。
2023.01.25,引っ越し料金は複数社の見積もりの中で断トツ安く、スタッフの方々も気持ちよく作業していただきました。ただ、引っ越し先に到着し、家具を運び入れている最中に、重い家具やベッドの下のマット、クローゼットの消臭・防虫シート等の売り込みあり。金額を確認しなかった自分が一番悪いのですが、「マット引いておきましょうか？」「シート貼っておきましょうか？」と値段の説明もなく、ともするとサービスなのかな？と思わせる口調で言われるがままにお願いしたら、最後に引っ越し代金とほぼ同額の請求を受けました。事前に金額を確認しなかった自分が悪いので、お支払しましたが１０万単位の費用が発生するならあらかじめ金額を伝えるべきではないかと思いました。効果の程は分からず、重くない家具の下にもひかれてしまったマットは見栄えが悪いので取り外しました。みなさま、お気をつけください。。。。
2023.02.12,"一人暮らしの引越しで利用。
数社に見積もりを取って、最後に来ていただいた。
その時点で最安値だった業者さんと数万の開きがあったため、正直に伝えてお断りしようとしたところ、最安値の業者さんに合わせて値下げしてきたのでお願いすることに。
（30,000円以上下がりました。他社の見積もりのことを言わなかったらどうなったのだろうとは思います）
見積もりに来てくださった営業の方は非常に丁寧で、契約決めた途端に車からすぐに梱包材を持ち込んできました。かなり余裕のある量を頂けたので、梱包には全く困らず。
引越し当日は、いかにもリーダー的な方と、そこそこ慣れてそうな若い男性と若い女性（おそらくアルバイト？）。
女性の不慣れさが顕著で、見ているこちらがヒヤヒヤしました。ただし、不慣れそうなだけで一生懸命さはありました。
引越しは時間に余裕を持って完了し、後日の段ボール回収をお願いした際も電話対応や回収共にとても愛想良い対応でした。おそらく地域差もあると思うのですが、次回も頼みたいなと思えるくらいの対応でした。"
2023.05.16,"３回利用しています。
地方なので引っ越し業者の選択肢が少ないのですが、必ず複数業者に見積もりを依頼して、結果アートさんにお願いしています。
アートさんは他社の見積もりがあれば値引き交渉にも応じてくれますし、値引き幅が少ないときは段ボールなどの資材でサービスしてくれます。
依頼する際は必ず他社の見積書を用意することをお勧めします！
ただ、オプションの説明時間が長い・・・
打ち合わせのときと、引っ越し当日にオプションを勧められます。
無理に進めてくるわけではないですが、種類も多いので説明時間も長く、ひとつひとつのオプションにいるいらないの返事をするのが大変でした。
しかし、当日に引っ越し先で洗濯機ホースが合わないことが分かった際、その場でホースの手配とホースの設置を急遽してくださり（オプション料金はつきましたが）、とても助かりました！
急なお願いにも答えてくれるので、また利用したいと思っています。"
2022.10.10,"梱包からやってくださる安心パックで20万程でした。安かろう悪かろうとも言うし、安心をお金で買った気でした。
ところが当日の作業は雑だし、作業員は愛想のカケラもないしで、これだったら底辺の引っ越し業者と変わらなかったなと心底ガッカリしました。
冷蔵庫のコンセントを抜くのは当日で良いと言われたのに、いざ抜いてもらったら水が漏れてビショビショ。作業員の方は何もしてくれなかったので、自分が後始末をしました。また引っ越し先では、取り外したウォシュレットを入れた段ボールから水が大量に漏れていて、しかもそれが洋服ダンスの上に置かれていたので、洋服ダンスと床一体がびしょ濡れになりました。一体何の為に高額を出してお願いしたのか、無駄な仕事まで増やされました。そもそも洋服の上にウォシュレットを置くのってどうなの？と思ってしまいました。
運んでもらった物干し竿も壊され、挙げ句の果てには荷物運搬時に貼っていた養生をマンションの共用スペースに貼ったまま忘れて帰ったので、こちらから電話しました。
また作業員の方はこちらが何かをお願いしても返事をしてくれなかったり、室内ではちあわせた時もこれ見よがしに無言で立っていたり、無駄なものを買わされそうになって断るとあからさまに不機嫌になったりして、一体何なの？と思ってしまいました。
「お客様は神様」みたいなことは全く思っていませんが、人間として最低限の、他人に不快な思いをさせない行動をその短時間にすら出来ないのかと思ってしまいました。もう二度と利用したくないし、親戚はもちろん、それ以外の方にも契約しようとしている方は今一度考えてほしいって思います。"
2023.02.15,"単身ということもあり、電話のみの見積もりでした。
引っ越し前日に、荷物の内容変更をお問合せし、「後ほど営業所よりお電話します」と言われましたが、電話は来ませんでした。
当日来られた作業員の方はその変更を知らされておりませんでした。
さらに見積もりに記載のある荷物複数が、作業員に送付される作業指示書には記載されておらず、「指示書に書いてある荷物以外は運べない」と言われました。
手持ちの見積もりをお見せし、「見積もりにはしっかりと書かれているので運んでいただきたい」と伝えるも、「結構トラックいっぱいいっぱいなので載せられたら載せてみますが、全部はムリです」と言われました。
その後問合せ窓口に電話し、その旨伝えたところ、作業員に電話があったようで、「こちらの手違いだったようで、荷物を新居に置いたらまた戻って取ってきます」と言ってくださり、対応いただきました。
トラブル無く安心してお任せしたかったので、少し高くてもアート引越センターを選んだのですが、少し残念でした。
作業員の方は一生懸命やってくださいました。

しかし一番閉口してしまったのは、営業所の上司です。
支払い手続きでシステムエラーのようになった為、作業員の方が営業所の上司にお電話されていたのですが、電話の向こうから「だから○○が違うっつってんだろ！」「バカや野郎！」「確認しろっ！バーカ！」と言う怒鳴り声が聞こえて、労基に通報しようかと思うほど、作業員の方が本当にかわいそうでした…。
作業員の方は大きなミスをしたわけでもないですし、むしろしたとしても怒鳴るなんてことは社会人として常軌を逸してます。
アート引越センターは大手なので良いイメージがありましたが、「ブラック企業なんだな」「パワハラ上司なんだな」と知ってしまい、次回は別の業者さんにしようと思いました。"
2023.04.20,先日引越しました。間違って、引越し前のマンションの備品が、引越し先に運ばれていました。アートさんの過失だから、引き上げて、マンションに返却してくれるだろうと思ってましたが、最終確認で、その間違いに気づかずに、サインした私の100%過失だから、元に戻すのに、3万かかるといわれました。アートさんは、こちらの言い分ではなく、引越しした担当者からの言い分を聞き、取り合ってくれませんでした。最終確認で、自分の荷物が、忘れていない事を見てサインしたのですが、余分に運ばれてしまった事に気づかなかっただけで、3万。アートさんの対応に、正直、幻滅してます。会社を休み、レンタカーを借りて、備品を返しに行きます。1万くらいかかりますが、3万払うよりマシです。最終確認サインしたら、アートさんは、間違っていても、サインした方が悪いようなので、くれぐれも注意して下さい。こんなに不愉快な事は、無いです。
2023.06.11,"複数社で見積もりを取りました。他社より高かったが一人立ちしたばかりの営業マンが初々しく誠意を感じた為、契約しましたが、その後の対応が最悪でした。
引越し前日に、朝一の9時から契約したはずなのに、午後2時に向かいますとの連絡。契約が違う旨を伝えると2時になってるの一点張り。契約書の控えを提示したところ、新人の営業マンが上司の決裁を取りやすくするために2時に書き換えたことを認め上司が謝罪し、予定通り9時からになるもトラックが準備できないとのことで2台から1台に変更。
それ以前にも、ダンボールの配達を近くを通ったからと頼んでいない日時にいきなり持ってきたこともあった為、アートの信頼は失墜。
当日は、トラックを一台にした為、引越し時間は延長。
挙句の果てにロードバイクを積み忘れてきたと言い、自分で取りに行くハメに。ロードバイクを取りに戻った為、新居への待ち合わせに遅れて行くと、謝罪もなく、むしろ遅いですと言わんばかりの態度。そしてあり得ないことに養生もすることなくすでに新居の玄関前に家具や家電が並べてある状態。サービスの靴下履き替えをするわけでもなく、パンフレットとは全く違う引越しでした。その後も、引越し当日に洗濯機の取付業社が取付作業をしようとしたところ洗濯機のホースが割れてる事が判明。普段なら自分かもしれないと思い苦情を入れることはしないが、これまでのアートの行動から間違いなく壊したなと思い、電話したところ、すぐに認めるも、またも謝罪することなく、こちらで修理費を出しますとの当たり前のことのみ。引越し後にも以前住んでいたマンションのゴミ捨て場にアートが余ったダンボールを捨てて行ったとのことで回収に行くハメに。
これだけのことをし、時間も手間も使わせ、トラックも一台減り、朝一引越しとのことで通常より高め料金だったにも関わらず価格の見直しは一切なし。むしろ洗濯機のカサ上げ代はしっかり徴収されました。
無駄な時間を余計に取られこんなに疲れてイライラする引越しは初めてでした。今後、頼むことはないですし、周りの方にも絶対勧めない会社です。街中でトラックを見る度にイライラが蘇るほど腹が立っています。"
